Index,Series Name,Network,Season,Title,IMDB,Engagement,Date Aired,Run Time,Format
1,"Scooby Doo, Where Are You!",CBS,1,What a Night for a Knight,8.1,556,9/13/1969,21 mins,TV Series
2,"Scooby Doo, Where Are You!",CBS,1,A Clue for Scooby Doo,8.1,479,9/20/1969,22 mins,TV Series
3,"Scooby Doo, Where Are You!",CBS,1,Hassle in the Castle,8,455,9/27/1969,21 mins,TV Series
4,"Scooby Doo, Where Are You!",CBS,1,Mine Your Own Business,7.8,426,10/4/1969,21 mins,TV Series
5,"Scooby Doo, Where Are You!",CBS,1,Decoy for a Dognapper,7.5,391,10/11/1969,21 mins,TV Series
6,"Scooby Doo, Where Are You!",CBS,1,What the Hex Going On?,8.4,384,10/18/1969,21 mins,TV Series
7,"Scooby Doo, Where Are You!",CBS,1,Never Ape an Ape Man,7.6,358,10/25/1969,21 mins,TV Series
8,"Scooby Doo, Where Are You!",CBS,1,Foul Play in Funland,8.2,358,11/1/1969,21 mins,TV Series
9,"Scooby Doo, Where Are You!",CBS,1,The Backstage Rage,8.1,371,11/8/1969,21 mins,TV Series
10,"Scooby Doo, Where Are You!",CBS,1,Bedlam in the Big Top,8,346,11/15/1969,21 mins,TV Series
11,"Scooby Doo, Where Are You!",CBS,1,A Gaggle of Galloping Ghosts,8.5,379,11/22/1969,21 mins,TV Series
12,"Scooby Doo, Where Are You!",CBS,1,"Scooby-Doo and a Mummy, Too",8.2,358,11/29/1969,21 mins,TV Series
13,"Scooby Doo, Where Are You!",CBS,1,Which Witch is Which,8.4,356,12/6/1969,21 mins,TV Series
14,"Scooby Doo, Where Are You!",CBS,1,Go Away Ghost Ship,8.1,331,12/13/1969,22 mins,TV Series
15,"Scooby Doo, Where Are You!",CBS,1,Spooky Space Kook,8.4,372,12/20/1969,21 mins,TV Series
16,"Scooby Doo, Where Are You!",CBS,1,A Night of Fright Is No Delight,8.7,403,1/10/1970,21 mins,TV Series
17,"Scooby Doo, Where Are You!",CBS,1,That's Snow Ghost,8,328,1/17/1970,21 mins,TV Series
18,"Scooby Doo, Where Are You!",CBS,2,Nowhere to Hyde,8.3,322,9/12/1970,21 mins,TV Series
19,"Scooby Doo, Where Are You!",CBS,2,Mystery Mask Mix-Up,7.8,312,9/19/1970,21 mins,TV Series
20,"Scooby Doo, Where Are You!",CBS,2,Scooby's Night with a Frozen Fright,7.7,301,9/26/1970,21 mins,TV Series
21,"Scooby Doo, Where Are You!",CBS,2,"Jeepers, It's the Creeper",8.5,347,10/3/1970,21 mins,TV Series
22,"Scooby Doo, Where Are You!",CBS,2,Haunted House Hang-Up,8.4,303,10/10/1970,21 mins,TV Series
23,"Scooby Doo, Where Are You!",CBS,2,A Tiki Scare Is No Fair,7.9,292,10/17/1970,21 mins,TV Series
24,"Scooby Doo, Where Are You!",CBS,2,Who's Afraid of the Big Bad Werewolf?,8.2,292,10/24/1970,NULL,TV Series
25,"Scooby Doo, Where Are You!",CBS,2,Who's Afraid of the Big Bad Werewolf?,8.2,292,10/24/1970,21 mins,TV Series
26,"Scooby Doo, Where Are You!",CBS,2,Don't Fool with a Phantom,7.9,282,10/31/1970,21 mins,TV Series
27,The New Scooby-Doo Movies,CBS,1,The Ghastly Ghost Town,6.9,138,9/9/1972,43 mins,TV Series
28,The New Scooby-Doo Movies,CBS,1,The Dynamic Scooby-Doo Affair,7.8,232,9/16/1972,41 mins,TV Series
29,The New Scooby-Doo Movies,CBS,1,Wednesday Is Missing,7.9,119,9/23/1972,41 mins,TV Series
30,The New Scooby-Doo Movies,CBS,1,The Frickert Fracas,7.9,116,9/30/1972,43 mins,TV Series
31,The New Scooby-Doo Movies,CBS,1,Guess Who's Knott Coming to Dinner?,7.9,111,10/7/1972,43 mins,TV Series
32,The New Scooby-Doo Movies,CBS,1,A Good Medium Is Rare,7.7,88,10/14/1972,41 mins,TV Series
33,The New Scooby-Doo Movies,CBS,1,Sandy Duncan's Jekyll and Hyde,7.8,90,10/21/1972,41 mins,TV Series
34,The New Scooby-Doo Movies,CBS,1,The Secret of Shark Island,8.5,109,10/28/1972,41 mins,TV Series
35,The New Scooby-Doo Movies,CBS,1,The Spooky Fog of Juneberry,7.7,96,11/4/1972,43 mins,TV Series
36,The New Scooby-Doo Movies,CBS,1,The Ghost of Bigfoot,8.3,118,11/11/1972,43 mins,TV Series
37,The New Scooby-Doo Movies,CBS,1,The Ghost of the Red Baron,7.6,86,11/18/1972,43 mins,TV Series
38,The New Scooby-Doo Movies,CBS,1,The Ghostly Creep from the Deep,7.4,90,11/25/1972,43 mins,TV Series
39,The New Scooby-Doo Movies,CBS,1,The Haunted Horseman of Hagglethorn Hall,7.8,86,12/2/1972,41 mins,TV Series
40,The New Scooby-Doo Movies,CBS,1,The Phantom of the Country Music Hall,7.6,81,12/9/1972,41 mins,TV Series
41,The New Scooby-Doo Movies,CBS,1,The Caped Crusader Caper,7.2,183,12/16/1972,43 mins,TV Series
42,The New Scooby-Doo Movies,CBS,1,The Lochness Mess,7.9,114,12/23/1972,43 mins,TV Series
43,The New Scooby-Doo Movies,CBS,2,The Mystery of Haunted Island,7.4,103,9/8/1973,44 mins,TV Series
44,The New Scooby-Doo Movies,CBS,2,The Haunted Showboat,7.9,82,9/15/1973,43 mins,TV Series
45,The New Scooby-Doo Movies,CBS,2,Mystery in Persia,7.5,82,9/22/1973,43 mins,TV Series
46,The New Scooby-Doo Movies,CBS,2,The Spirited Spooked Sports Show,7.4,73,9/29/1973,43 mins,TV Series
47,The New Scooby-Doo Movies,CBS,2,The Exterminator,7.6,85,10/6/1973,44 mins,TV Series
48,The New Scooby-Doo Movies,CBS,2,The Weird Winds of Winona,7.3,91,10/13/1973,44 mins,TV Series
49,The New Scooby-Doo Movies,CBS,2,The Haunted Candy Factory,7.8,104,10/20/1973,43 mins,TV Series
50,The New Scooby-Doo Movies,CBS,2,The Haunted Carnival,7.6,92,10/27/1973,43 mins,TV Series
51,The Scooby-Doo Show,ABC,1,High Rise Hair Raiser,7.6,112,9/11/1976,24 mins,TV Series
52,"Dynomutt, Dogwonder",ABC,Crossover,Everyone Hyde!,7.2,12,9/11/1976,22 mins,Crossover
53,The Scooby-Doo Show,ABC,1,The Fiesta Host is an Aztec Ghost,7.4,97,9/18/1976,24 mins,TV Series
54,"Dynomutt, Dogwonder",ABC,Crossover,"What Now, Lowbrow?",6.9,11,9/18/1976,22 mins,Crossover
55,The Scooby-Doo Show,ABC,1,The Gruesome Game of the Gator Ghoul,7.5,95,9/25/1976,24 mins,TV Series
56,The Scooby-Doo Show,ABC,1,Whatta Shocking Ghost,8,101,10/2/1976,24 mins,TV Series
57,The Scooby-Doo Show,ABC,1,The Headless Horseman of Halloween,8,127,10/9/1976,24 mins,TV Series
58,The Scooby-Doo Show,ABC,1,Scared a Lot in Camelot,7.6,93,10/16/1976,24 mins,TV Series
59,The Scooby-Doo Show,ABC,1,The Harum-Scarum Sanitarium,8.2,99,10/23/1976,24 mins,TV Series
60,The Scooby-Doo Show,ABC,1,The No-Face Zombie Chase Case,7.7,91,10/30/1976,24 mins,TV Series
61,The Scooby-Doo Show,ABC,1,Mamba Wamba and the Voodoo Hoodoo,7,81,11/6/1976,24 mins,TV Series
62,The Scooby-Doo Show,ABC,1,A Frightened Hound Meets Demons Underground,7.4,84,11/13/1976,NULL,TV Series
63,"Dynomutt, Dogwonder",ABC,Crossover,The Wizard of Ooze,6.3,7,11/13/1976,22 mins,Crossover
64,The Scooby-Doo Show,ABC,1,A Bum Steer for Scooby,6.8,84,11/20/1976,24 mins,TV Series
65,The Scooby-Doo Show,ABC,1,There's a Demon Shark in the Foggy Dark,7.2,80,11/25/1976,24 mins,TV Series
66,The Scooby-Doo Show,ABC,1,"Scooby-Doo, Where's the Crew?",7.3,77,11/27/1976,24 mins,TV Series
67,The Scooby-Doo Show,ABC,1,The Ghost That Sacked the Quarterback,6.8,75,12/4/1976,24 mins,TV Series
68,The Scooby-Doo Show,ABC,1,The Ghost of the Bad Humor Man,7.7,84,12/11/1976,24 mins,TV Series
69,The Scooby-Doo Show,ABC,1,The Spirits of '76,7.5,81,12/18/1976,24 mins,TV Series
70,The Scooby-Doo Show,ABC,2,The Curse of the Viking Lake,7.4,71,9/10/1977,24 mins,TV Series
71,Laff-a-Lympics,ABC,1,The Swiss Alps,6.9,25,9/10/1977,12 mins,TV Series (segmented)
72,Laff-a-Lympics,ABC,1,"Tokyo, Japan",6.9,25,9/10/1977,12 mins,TV Series (segmented)
73,The Scooby-Doo Show,ABC,2,Vampire Bats and Scaredy Cats,8.2,104,9/17/1977,24 mins,TV Series
74,Laff-a-Lympics,ABC,1,Acapulco,6.3,23,9/17/1977,12 mins,TV Series (segmented)
75,Laff-a-Lympics,ABC,1,England,6.3,23,9/17/1977,12 mins,TV Series (segmented)
76,The Scooby-Doo Show,ABC,2,"Hang in There, Scooby-Doo",7.4,76,9/24/1977,24 mins,TV Series
77,Laff-a-Lympics,ABC,1,Florida,7.1,22,9/24/1977,12 mins,TV Series (segmented)
78,Laff-a-Lympics,ABC,1,China,7.1,22,9/24/1977,12 mins,TV Series (segmented)
79,The Scooby-Doo Show,ABC,2,The Chiller Diller Movie Thriller,7.9,77,10/1/1977,24 mins,TV Series
80,Laff-a-Lympics,ABC,1,The Sahara Desert,7.2,21,10/1/1977,12 mins,TV Series (segmented)
81,Laff-a-Lympics,ABC,1,Scotland,7.2,21,10/1/1977,12 mins,TV Series (segmented)
82,The Scooby-Doo Show,ABC,2,The Spooky Case of the Grand Prix Race,7.4,75,10/8/1977,24 mins,TV Series
83,Laff-a-Lympics,ABC,1,France,6.8,19,10/8/1977,11 mins,TV Series (segmented)
84,Laff-a-Lympics,ABC,1,Australia,6.8,19,10/8/1977,11 mins,TV Series (segmented)
85,The Scooby-Doo Show,ABC,2,The Ozrk Witch,8.1,78,10/15/1977,24 mins,TV Series
86,Laff-a-Lympics,ABC,1,"Athens, Greece",6.8,19,10/15/1977,12 mins,TV Series (segmented)
87,Laff-a-Lympics,ABC,1,The Ozarks,6.8,19,10/15/1977,12 mins,TV Series (segmented)
