Index,Monster Name,Monster Gender,Monster Type,Monster Subtype,Monster Species,Monster Real,Monster Amount,Caught Fred,Caught Daphnie,Caught Velma,Caught Shaggy,Caught Scooby,Captured Fred,Captured Daphnie,Captured Velma,Captured Shaggy,Captured Scooby,Unmask Fred,Unmask Daphnie,Unmask Velma,Unmask Shaggy,Unmask Scooby,Snack Fred,Snack Daphnie,Snack Velma,Snack Shaggy,Snack Scooby,Unmask Other,Caught Other,Caught Not,Trap Work First,Setting Terrain,Setting Country State,Suspects Amount,Non Suspect,Arrested,Culprit Name,Culprit Gender,Culprit Amount,Motive,If It Wasnt For,And That,Door Gag,Number Of Snacks,Split Up,Another Mystery,Set A Trap,Jeepers,Jinkies,My Glasses,Just About Wrapped Up,Zoinks,Groovy,Scooby Doo Where Are You,Rooby Rooby Roo,Batman,Scooby Dum,Scrappy Doo,Hex Girls,Blue Falcon,Fred Va,Daphnie Va,Velma Va,Shaggy Va,Scooby Va
1,Black Knight,Male,Possessed Object,Suit,Object,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,2,FALSE,TRUE,Mr. Wickles,Male,1,Theft,NULL,NULL,FALSE,2,1,1,0,0,0,1,0,1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
2,Ghost of Cptn. Cuttler,Male,Ghost,Suit,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Coast,United States,2,TRUE,TRUE,Cptn. Cuttler,Male,1,Theft,NULL,NULL,FALSE,1,0,0,0,0,0,0,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
3,Phantom,Male,Ghost,Phantom,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Island,United States,0,TRUE,TRUE,Bluestone the Great,Male,1,Treasure,NULL,NULL,FALSE,3,0,0,0,0,0,0,0,1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
4,Miner 49'er,Male,Ancient,Miner,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cave,California,2,FALSE,TRUE,Hank,Male,1,Natural Resource,NULL,NULL,FALSE,2,1,0,0,0,0,0,0,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
5,Indian Witch Doctor,Female,Ancient,Witch Doctor,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Desert,United States,1,FALSE,TRUE,Buck Master,Male,1,Competition,NULL,NULL,FALSE,2,0,1,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
6,Ghost of Elias Kingston,Male,Ghost,Phantom,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,United States,2,FALSE,TRUE,Uncle Stuart,Male,1,Extortion,NULL,NULL,FALSE,4,0,0,0,1,0,0,0,2,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
7,Ape Man,Male,Animal,Half-Human,Ape,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert,United States,1,FALSE,TRUE,Carl,Male,1,Competition,NULL,NULL,FALSE,4,1,0,1,0,0,0,0,1,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
8,Charlie the Robot,Male,Mechanical,Humanoid,Robot,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban,United States,2,FALSE,FALSE,Sarah Jenkins,Female,1,Safety,NULL,NULL,TRUE,0,0,0,1,0,0,1,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
9,Puppet Master,Male,Ghost,Pupeteer,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,1,FALSE,TRUE,Mr. Pietro,Male,1,Counterfeit,NULL,NULL,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
10,Ghost Clown,Male,Ghost,Clown,Human,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,TRUE,TRUE,Harry the Hypnotist,Male,1,Competition,NULL,NULL,FALSE,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
11,"Werewolf,Dracula,Frankenstein's Monster","Male,Male,Male","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest,United States,1,FALSE,TRUE,Big Bob Oakly,Male,1,Treasure,these blasted kids,dog,FALSE,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
12,Mummy of Ankha,Male,Undead,Mummy,Human,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NULL,Urban,United States,1,FALSE,TRUE,Dr. Najib,Male,1,Theft,NULL,NULL,FALSE,1 box,1,0,0,0,0,0,0,6,1,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
